arrival_ts,stop
434,C
698,C
925,C
1195,C
1421,C
1620,C
2051,C
2124,C
2238,C
2423,C
2697,C
2806,C
2985,C
3118,C
3357,C
3488,C
3654,C
3843,C
3983,C
4126,C
4257,C
4405,C
4549,C
4689,C
4839,C
4977,C
5121,C
5263,C
5389,C
5534,C
5686,C
5851,C
6050,C
6238,C
6398,C
6580,C
6796,C
6932,C
7127,C
7294,C
7510,C
7754,C
7869,C
7982,C
8124,C
8251,C
8399,C
8543,C
8697,C
8813,C
8951,C
9113,C
9244,C
9368,C
9508,C
9638,C
9778,C
9907,C
10061,C
10180,C
10330,C
10462,C
10618,C
10759,C
10876,C
11021,C
11171,C
11294,C
11491,C
11632,C
11774,C
11936,C
12082,C
12218,C
12487,C
12575,C
12681,C
12824,C
12963,C
13105,C
13284,C
13559,C
13646,C
13789,C
13971,C
14146,C
14304,C
14459,C
14715,C
14952,C
15066,C
15183,C
15362,C
15610,C
15865,C
16107,C
16452,C
16660,C
16962,C
17248,C
17550,C
17862,C
18152,C
18429,C
18698,C
18927,C
19142,C
19551,C
19748,C
20051,C
20340,C
20646,C
20952,C
21244,C
21545,C
21845,C
22142,C
22448,C
22753,C
23040,C
23343,C
23662,C
23962,C
24245,C
24543,C
24842,C
25141,C
25445,C
25757,C
26065,C
26354,C
26640,C
26929,C
27242,C
27539,C
27850,C
28135,C
28439,C
28744,C
29041,C
29357,C
29645,C
29937,C
30252,C
30544,C
30864,C
31197,C
31545,C
31824,C
32147,C
32418,C
32733,C
33027,C
33331,C
33624,C
33915,C
34241,C
34522,C
34825,C
35131,C
300,B
565,B
778,B
1048,B
1287,B
1491,B
1933,B
1998,B
2096,B
2287,B
2563,B
2676,B
2853,B
2991,B
3226,B
3362,B
3503,B
3710,B
3852,B
3990,B
4114,B
4272,B
4418,B
4554,B
4700,B
4843,B
4991,B
5125,B
5260,B
5397,B
5555,B
5717,B
5912,B
6104,B
6272,B
6442,B
6658,B
6800,B
6995,B
7147,B
7378,B
7619,B
7732,B
7853,B
7992,B
8116,B
8266,B
8409,B
8561,B
8682,B
8817,B
8978,B
9106,B
9241,B
9377,B
9506,B
9648,B
9774,B
9928,B
10046,B
10194,B
10323,B
10485,B
10622,B
10747,B
10886,B
11038,B
11163,B
11352,B
11497,B
11643,B
11804,B
11950,B
12078,B
12351,B
12443,B
12548,B
12692,B
12832,B
12974,B
13103,B
13404,B
13505,B
13652,B
13838,B
14008,B
14174,B
14325,B
14581,B
14822,B
14928,B
15051,B
15208,B
15475,B
15730,B
15972,B
16321,B
16523,B
16828,B
17109,B
17407,B
17729,B
18014,B
18284,B
18568,B
18790,B
18979,B
19415,B
19610,B
19917,B
20193,B
20509,B
20817,B
21110,B
21415,B
21716,B
22005,B
22314,B
22618,B
22905,B
23210,B
23518,B
23822,B
24113,B
24410,B
24708,B
24996,B
25307,B
25623,B
25922,B
26212,B
26504,B
26795,B
27099,B
27404,B
27715,B
27987,B
28309,B
28604,B
28910,B
29217,B
29510,B
29796,B
30115,B
30411,B
30718,B
31049,B
31391,B
31667,B
32001,B
32265,B
32585,B
32877,B
33183,B
33473,B
33770,B
34089,B
34370,B
34674,B
34985,B
