from_stop,to_stop,departure_ts,arrival_ts,user_id
A,B,25452,25599,-6207067461689674073
A,B,25549,25605,-9155834668840143622
A,B,25320,25605,5822409325450716045
A,B,25552,25607,-8683079914663117009
A,B,25546,25607,-4377401394020255337
A,B,25552,25607,1723196081120880472
A,B,25552,25609,-703903881348217681
A,B,25551,25610,8682877998355323008
A,B,25549,25616,3914329966435306722
A,B,25546,25616,-786217008490834047
A,B,25531,25616,-4497960528393094698
A,B,25555,25618,5316480950938606104
A,B,25551,25620,721054601801030647
A,B,25534,25620,1135979962060527331
A,B,25546,25620,-4159119912571445265
A,B,25557,25620,6130854294581918819
A,B,25542,25629,5137541742660946250
A,B,25551,25631,420836014198854786
A,B,25551,25631,-4017763405496644942
A,B,25558,25637,1147077292326619506
A,B,25558,25639,-5156206406944079983
A,B,25551,25639,-5544671339806650358
A,B,25552,25642,-3440383544752773388
A,B,25527,25646,3280195819198695296
A,B,25531,25648,-4657928462419724662
A,B,25230,25650,8403208123508533789
A,B,25534,25652,-9165623663049382857
A,B,25534,25652,-2394587462386964296
A,B,25534,25660,-1310092190145378466
A,B,25549,25664,-6341338071960992620
A,B,25334,25672,-3759125763898890540
A,B,25257,25689,1349341749477589520
B,C,25290,25693,-1125593836628483990
B,C,25627,25734,4775633238630804018
B,C,25662,25734,5822409325450716045
B,C,25662,25738,4832259278996338049
B,C,25620,25738,-7748476322459524655
B,C,25664,25738,-7432191763059612139
B,C,25670,25740,-6985500420524189136
B,C,25648,25740,-8738393340548741318
B,C,25662,25740,-4377401394020255337
B,C,25668,25740,-3282619218245770284
B,C,25666,25740,-6341338071960992620
B,C,25666,25742,1723196081120880472
B,C,25658,25742,3914329966435306722
B,C,25664,25742,-8683079914663117009
B,C,25642,25744,1431268784394349322
A,C,25546,25744,5061972203380474068
A,B,25194,25744,-8635031938555782092
B,C,25662,25744,-4275199320469884969
B,C,25668,25744,-6561300613460933257
B,C,25660,25746,2183529017873500169
B,C,25562,25746,-1711485310420325998
B,C,25658,25746,8682877998355323008
B,C,25482,25746,-1552707138662538071
B,C,25672,25748,6130854294581918819
B,C,25672,25748,-7108549334618307262
B,C,25672,25748,-6004456991612753570
B,C,25654,25748,-2394587462386964296
B,C,25660,25748,5137541742660946250
B,C,25670,25748,-703903881348217681
B,C,25679,25750,-3282616218338770518
B,C,25654,25750,420836014198854786
B,C,25670,25750,-9165623663049382857
B,C,25672,25752,721054601801030647
B,C,25666,25752,3773476046470496235
B,C,25750,25752,-7108549334618307262
A,C,25555,25752,-7102130791678309209
B,C,25618,25752,7510144476965953113
A,C,25546,25752,-863712574865305947
B,C,25750,25754,-703903881348217681
B,C,25750,25754,-8683079914663117009
B,C,25637,25756,8292470479222955593
A,C,25545,25756,-8568129797793873031
B,C,25631,25756,-4017763405496644942
B,C,25666,25758,-8315247525831065922
B,C,25750,25760,2183529017873500169
B,C,25662,25760,-4159119912571445265
B,C,25668,25760,4482124866417594770
B,C,25758,25762,530225259408247359
B,C,25660,25764,-1102826526994914109
B,C,25668,25764,-9155834668840143622
B,C,25658,25764,-5566203965733543716
B,C,25635,25764,1135979962060527331
B,C,25646,25764,3280195819198695296
B,C,25644,25766,-7573811116975994351
B,C,25654,25766,8756727876047559390
B,C,25644,25768,-4603520165101461154
B,C,25648,25771,-6703781575481576492
B,C,25662,25773,4028372181527067081
B,C,25773,25775,5822409325450716045
B,C,25652,25775,-8417751882940570684
B,C,25668,25775,-5156206406944079983
B,C,25654,25775,8983881704598304341
B,C,25764,25777,420836014198854786
B,C,25668,25779,1972955497706995389
B,C,25664,25779,-9071057507288548043
B,C,25766,25779,-9155834668840143622
B,C,25616,25779,-8441918385112017443
B,C,25662,25781,-5581089061358072465
B,C,25650,25783,8403208123508533789
B,C,25777,25785,3914329966435306722
B,C,25646,25785,-7184337980129947781
A,C,25545,25789,5963632010397250216
